image,status,sidewalk_pos,road_pos,Object_present,Object_present_outside,m_bicycle,m_car,m_person,m_traffic_sign,traffic_light,m_obstacle,m_grass,m_plants,m_trees,m_bicycle_outside,m_car_outside,m_person_outside,m_traffic_sign_outside,traffic_light_outside,m_obstacle_outside,m_grass_outside,m_plants_outside,m_trees_outside
0719.jpg,done,Center,Not present,Yes,Yes,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present
0720.jpg,done,Outside,Front,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Right,not present,Left,not present,not present,not present
0721.jpg,done,Center,Right,Yes,Yes,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present
0722.jpg,done,Right,Not present,Yes,Yes,not present,not present,Right,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present
0675.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0725.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0723.jpg,done,Right,Right,Yes,Yes,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present
0727.jpg,done,Center,Right,Yes,No,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0728.jpg,done,Center,Right,Yes,No,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0729.jpg,done,Center,Left,Yes,No,not present,not present,Center-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0730.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0731.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0726.jpg,done,Center,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present
0732.jpg,done,Left,Left,Yes,Yes,Left,not present,not present,Right,not present,Right,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present
0733.jpg,done,Center,Not present,Yes,No,Right-Left,not present,not present,Left-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0714.jpg,done,Left,Left,Yes,Yes,Left,not present,Right,Left,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present
0735.jpg,done,Center,Front,Yes,Yes,Right,not present,not present,not present,not present,not present,not present,Left,Right,not present,Right,not present,not present,not present,not present,not present,not present,not present
0737.jpg,done,Left,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present
0738.jpg,done,Left,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,Right
0739.jpg,done,Left,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,Right
0741.jpg,done,Left,Not present,Yes,No,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0742.jpg,done,Right,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0743.jpg,done,Left,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,Right,not present,Right,not present,not present,not present
0745.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0746.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0747.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0748.jpg,done,Left,Front,Yes,No,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0749.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0750.jpg,done,Left,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0751.jpg,done,Right,Left,Yes,No,not present,not present,not present,not present,not present,Center-Center-Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0752.jpg,done,Center,Left,Yes,No,not present,not present,not present,not present,not present,Center-Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0753.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0754.jpg,done,Right,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0755.jpg,done,Left,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0756.jpg,done,Left,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0757.jpg,done,Left,Right,Yes,No,Left-Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0758.jpg,done,Left,Right,Yes,Yes,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present
0759.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0760.jpg,done,Left,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0761.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0762.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0763.jpg,done,Center,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0764.jpg,done,Center,Right,Yes,No,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,Center,not present,not present,not present
0765.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0766.jpg,done,Center,Not present,No,Yes,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present
0767.jpg,done,Left,Right,Yes,No,not present,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0768.jpg,done,Center,Right,Yes,No,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0769.jpg,done,Center,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0770.jpg,done,Right,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0771.jpg,done,Center,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present
0772.jpg,done,Center,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present
0773.jpg,done,Center,Right,Yes,Yes,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present
0774.jpg,done,Center,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present
0775.jpg,done,Right,Left,Yes,No,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0776.jpg,done,Right,Left,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0777.jpg,done,Center,Not present,Yes,No,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0778.jpg,done,Center,Left,Yes,No,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0779.jpg,done,Right,Front,Yes,Yes,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present
0780.jpg,done,Center,Front,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0781.jpg,done,Center,Front,Yes,No,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0782.jpg,done,Center,Front,Yes,Yes,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present
0783.jpg,done,Left,Not present,Yes,No,not present,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0784.jpg,done,Right,Not present,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Left-Left,not present,not present
0785.jpg,done,Right,Not present,Yes,No,not present,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0786.jpg,done,Right,Right,Yes,No,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0787.jpg,done,Right,Right,Yes,No,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0788.jpg,done,Right,Right,Yes,No,not present,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0789.jpg,done,Right,Right,Yes,No,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0790.jpg,done,Right,Right,Yes,No,not present,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0791.jpg,done,Center,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0792.jpg,done,Center,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0793.jpg,done,Center,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0794.jpg,done,Left,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0795.jpg,done,Right,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0796.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0797.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0798.jpg,done,Center,Left,Yes,No,not present,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0799.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0800.jpg,done,Left,Not present,Yes,No,not present,not present,Left-Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0801.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Left-Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0802.jpg,done,Left,Not present,Yes,No,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0803.jpg,done,Left,Not present,Yes,No,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0804.jpg,done,Right,Not present,Yes,No,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present
0805.jpg,done,Center,Right,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0806.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0807.jpg,done,Left,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0808.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0809.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0810.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0811.jpg,done,Right,Not present,Yes,No,Left,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0812.jpg,done,Right,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0813.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0814.jpg,done,Right,Not present,Yes,No,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0815.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0816.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0817.jpg,done,Right,Right,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0818.jpg,done,Right,Not present,Yes,No,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0819.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0820.jpg,done,Left,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0821.jpg,done,Center,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0822.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0823.jpg,done,Right,Not present,Yes,No,not present,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0824.jpg,done,Center,Not present,Yes,No,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0825.jpg,done,Left,Left,Yes,No,not present,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0826.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0827.jpg,done,Left,Not present,Yes,No,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0828.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0829.jpg,done,Right,Not present,Yes,No,not present,not present,not present,not present,not present,Left-Left-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0830.jpg,done,Right,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0831.jpg,done,Right,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0832.jpg,done,Center,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0833.jpg,done,Left,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0834.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0835.jpg,done,Center,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0836.jpg,done,Center,Left,Yes,No,not present,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0837.jpg,done,Center,Left,Yes,No,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0838.jpg,done,Left,Not present,Yes,No,not present,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0839.jpg,done,Right,Not present,Yes,No,not present,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0840.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0841.jpg,done,Center,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0842.jpg,done,Left,Not present,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0843.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0844.jpg,done,Left,Not present,Yes,No,not present,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0845.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0846.jpg,done,Right,Not present,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0847.jpg,done,Right,Not present,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0848.jpg,done,Center,Right,Yes,No,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0849.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0850.jpg,done,Center,Not present,Yes,No,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0851.jpg,done,Center,Right,Yes,No,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0852.jpg,done,Center,Right,Yes,No,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0853.jpg,done,Right,Left,Yes,No,Left-Left-Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0854.jpg,done,Right,Left,Yes,No,not present,not present,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0855.jpg,done,Right,Left,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0856.jpg,done,Left,Right,Yes,No,not present,not present,not present,Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0857.jpg,done,Center,Front,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0858.jpg,done,Center,Right,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0859.jpg,done,Right,Left,Yes,No,not present,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0860.jpg,done,Right,Left,Yes,No,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0861.jpg,done,Center,Left,Yes,No,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0862.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0863.jpg,done,Center,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0864.jpg,done,Left,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0865.jpg,done,Center,Right,Yes,No,not present,Right-Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0866.jpg,done,Right,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0867.jpg,done,Right,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0868.jpg,done,Left,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0869.jpg,done,Center,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0870.jpg,done,Left,Front,Yes,No,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0871.jpg,done,Right,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0872.jpg,done,Left,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0873.jpg,done,Right,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0874.jpg,done,Right,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0875.jpg,done,Right,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0876.jpg,done,Right,Left,Yes,No,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0877.jpg,done,Right,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0878.jpg,done,Right,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0879.jpg,done,Left,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0880.jpg,done,Center,Not present,Yes,No,Left-Left-Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0881.jpg,done,Left,Not present,Yes,No,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0882.jpg,done,Right,Not present,Yes,No,Left-Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0883.jpg,done,Center,Left,Yes,No,not present,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0884.jpg,done,Left,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0885.jpg,done,Center,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0886.jpg,done,Right,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0887.jpg,done,Right,Left,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0888.jpg,done,Left,Right,Yes,No,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0889.jpg,done,Left,Not present,Yes,No,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0890.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0891.jpg,done,Center,Not present,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0892.jpg,done,Right,Not present,Yes,No,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present
0893.jpg,done,Right,Not present,Yes,No,Left-Left,not present,not present,not present,not present,not present,not present,not present,Center-Center,not present,not present,not present,not present,not present,not present,not present,not present,not present
0894.jpg,done,Right,Not present,Yes,No,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
0895.jpg,done,Center,Not present,Yes,No,not present,not present,not present,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,not present,not present,not present,not present,not present
0896.jpg,done,Center,Right,No,Yes,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present
0897.jpg,done,Right,Right,Yes,Yes,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present
0898.jpg,done,Center,Right,Yes,Yes,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present
0899.jpg,done,Left,Right,Yes,Yes,not present,not present,not present,not present,not present,Left-Left,not present,not present,not present,not present,Right-Right,not present,not present,not present,not present,not present,not present,not present
0900.jpg,done,Center,Right,Yes,Yes,not present,not present,not present,not present,not present,Left,not present,not present,not present,not present,Right,not present,not present,not present,not present,not present,not present,not present
0901.jpg,done,Center,Right,No,No,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
